step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
280,-18.744408,SHORT,-0.0021,0.039363,0.002001,0.037362,1.893282
281,-19.783085,SHORT,-0.002041,0.040369,0.000519,0.039849,1.933131
282,-19.709831,SHORT,0.000574,-0.01132,3.7e-05,-0.011357,1.921775
283,-19.753862,SHORT,-0.001341,0.026482,2.2e-05,0.02646,1.948235
284,-19.693514,SHORT,-0.000319,0.006291,3e-05,0.006261,1.954496
285,-19.662794,SHORT,-0.000575,0.011312,1.5e-05,0.011296,1.965792
286,-19.662006,SHORT,0.003829,-0.075285,0.0,-0.075286,1.890507
287,-19.767286,SHORT,0.001591,-0.031452,5.3e-05,-0.031504,1.859002
288,-19.754459,SHORT,-0.000254,0.005026,6e-06,0.005019,1.864022
289,-19.588509,SHORT,-0.000127,0.002492,8.3e-05,0.002409,1.866431
290,-19.556019,SHORT,-0.000827,0.01618,1.6e-05,0.016164,1.882595
291,-19.169313,SHORT,-0.003061,0.058674,0.000193,0.058481,1.941075
292,-13.739854,SHORT,0.001978,-0.027176,0.002715,-0.02989,1.911185
293,19.888863,LONG,-0.000127,-0.002536,0.016814,-0.01935,1.891835
294,19.922291,LONG,-0.002809,-0.055958,1.7e-05,-0.055975,1.835861
295,19.922834,LONG,-0.001151,-0.022938,0.0,-0.022938,1.812922
296,19.927019,LONG,0.000384,0.007651,2e-06,0.007648,1.820571
297,19.92687,LONG,0.000831,0.016566,0.0,0.016566,1.837137
298,19.919779,LONG,0.00249,0.049598,4e-06,0.049594,1.886731
299,19.921602,LONG,0.000128,0.00254,1e-06,0.002539,1.88927
300,19.917402,LONG,-0.003001,-0.059772,2e-06,-0.059774,1.829496
301,-19.734806,SHORT,-0.002177,0.042954,0.019826,0.023128,1.852624
302,-19.537159,SHORT,-0.005204,0.101681,9.9e-05,0.101582,1.954206
303,-16.572699,SHORT,-0.002128,0.035269,0.001482,0.033787,1.987993
304,0.0,FLAT,0.00682,0.0,0.008286,-0.008286,1.979707
305,19.900995,LONG,0.002753,0.054794,0.00995,0.044843,2.02455
306,19.909073,LONG,-0.002241,-0.044606,4e-06,-0.04461,1.97994
307,19.901926,LONG,-0.002824,-0.056199,4e-06,-0.056202,1.923737
308,19.90583,LONG,-0.001544,-0.030727,2e-06,-0.030729,1.893009
309,-19.7848,SHORT,-0.001095,0.021661,0.019845,0.001816,1.894824
310,-19.087099,SHORT,-0.002904,0.055427,0.000349,0.055078,1.949902
311,-19.320923,SHORT,0.003677,-0.07104,0.000117,-0.071157,1.878746
312,-19.651783,SHORT,0.002636,-0.05181,0.000165,-0.051975,1.82677
313,19.927233,LONG,0.004996,0.099566,0.01979,0.079777,1.906547
314,19.912313,LONG,-0.001791,-0.035658,7e-06,-0.035665,1.870882
315,19.915113,LONG,0.004853,0.096651,1e-06,0.096649,1.967531
316,19.909384,LONG,-0.000765,-0.015225,3e-06,-0.015228,1.952303
317,-19.835421,SHORT,-0.003193,0.063327,0.019872,0.043455,1.995758
318,-19.642279,SHORT,0.001789,-0.035143,9.7e-05,-0.035239,1.960519
319,-19.757256,SHORT,0.001658,-0.032767,5.7e-05,-0.032825,1.927694
320,-19.666538,SHORT,-0.000255,0.005014,4.5e-05,0.004969,1.932663
321,-19.768551,SHORT,-0.002362,0.046685,5.1e-05,0.046634,1.979297
322,-19.729797,SHORT,0.006433,-0.126929,1.9e-05,-0.126948,1.852349
323,-19.804659,SHORT,-0.000953,0.018871,3.7e-05,0.018833,1.871182
324,-19.196178,SHORT,-0.000254,0.00488,0.000304,0.004576,1.875759
325,3.108146,LONG,0.000763,0.00237,0.011152,-0.008782,1.866977
326,-8.38238,SHORT,-0.000508,0.004261,0.005745,-0.001485,1.865492
327,0.0,FLAT,-0.001272,-0.0,0.004191,-0.004191,1.861301
328,19.251741,LONG,0.002415,0.046496,0.009626,0.03687,1.898171
329,-19.804823,SHORT,-0.002606,0.051613,0.019528,0.032085,1.930255
330,-19.41588,SHORT,0.001272,-0.024699,0.000194,-0.024893,1.905362
331,-19.669386,SHORT,0.00349,-0.068645,0.000127,-0.068772,1.83659
332,-19.762156,SHORT,-0.002156,0.042607,4.6e-05,0.042561,1.87915
333,19.910925,LONG,0.003675,0.073174,0.019837,0.053338,1.932488
334,19.91428,LONG,-0.000127,-0.002519,2e-06,-0.002521,1.929967
335,19.919313,LONG,0.001264,0.025184,3e-06,0.025182,1.955149
336,19.921797,LONG,-0.004876,-0.097146,1e-06,-0.097147,1.858002
337,19.269833,LONG,0.001332,0.025673,0.000326,0.025347,1.883348
338,0.0,FLAT,-0.004066,-0.0,0.009635,-0.009635,1.873713
339,18.038094,LONG,0.000827,0.014921,0.009019,0.005902,1.879616
