step,position,action,position_change,pred_return,pred_15m,pred_1h,pred_4h,pred_1d,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl,correct_direction
244,0.042535,FLAT,0.033986,-0.011755,0.004707,-0.010272,0.002929,-0.023224,-0.002362,-0.0001,1.7e-05,-0.000117,-0.001998,0
245,0.05161,LONG,0.009075,-0.007787,0.00464,-0.010294,0.003219,-0.023224,-0.001302,-6.7e-05,5e-06,-7.2e-05,-0.00207,0
246,0.052844,LONG,0.001234,-0.007832,0.004432,-0.010428,0.003479,-0.023224,-0.000711,-3.8e-05,1e-06,-3.8e-05,-0.002108,0
247,0.055278,LONG,0.002434,-0.007873,0.002077,-0.010487,0.003852,-0.023224,0.000829,4.6e-05,1e-06,4.5e-05,-0.002063,1
248,0.021673,FLAT,0.033605,-0.001134,0.004201,-0.010421,0.005532,-0.023224,0.000592,1.3e-05,1.7e-05,-4e-06,-0.002067,1
249,0.017593,FLAT,0.00408,-0.003101,0.005424,-0.0104,0.005533,-0.023224,-0.003912,-6.9e-05,2e-06,-7.1e-05,-0.002138,0
250,0.012814,FLAT,0.004779,-0.00574,0.00578,-0.010238,0.005604,-0.023224,0.003794,4.9e-05,2e-06,4.6e-05,-0.002092,1
251,-0.016219,FLAT,0.029033,-0.0035,0.00586,-0.010487,0.005604,-0.023224,-0.002014,3.3e-05,1.5e-05,1.8e-05,-0.002074,1
252,-0.024607,FLAT,0.008388,-0.013333,0.007471,-0.010546,0.005585,-0.023224,0.002487,-6.1e-05,4e-06,-6.5e-05,-0.002139,0
253,-0.035814,FLAT,0.011208,-0.015081,0.00773,-0.010591,0.005585,-0.023224,-0.001894,6.8e-05,6e-06,6.2e-05,-0.002077,1
254,-0.024029,FLAT,0.011785,-0.0092,0.007362,-0.008793,0.006495,-0.023224,0.000711,-1.7e-05,6e-06,-2.3e-05,-0.0021,0
255,-0.036831,FLAT,0.012802,-0.005202,0.004809,-0.008747,0.006495,-0.023224,-0.001185,4.4e-05,6e-06,3.7e-05,-0.002063,1
256,-0.026324,FLAT,0.010508,-0.008332,0.005685,-0.008965,0.006495,-0.023224,0.003196,-8.4e-05,5e-06,-8.9e-05,-0.002152,0
257,-0.028025,FLAT,0.001702,-0.007886,0.00651,-0.008943,0.006495,-0.023224,0.000473,-1.3e-05,1e-06,-1.4e-05,-0.002166,0
258,-0.030812,FLAT,0.002787,-0.006487,0.005309,-0.009112,0.00535,-0.01362,-0.001418,4.4e-05,1e-06,4.2e-05,-0.002124,1
259,-0.021516,FLAT,0.009297,-0.008442,0.005416,-0.009339,0.005509,-0.014061,-0.001657,3.6e-05,5e-06,3.1e-05,-0.002093,1
260,-0.015211,FLAT,0.006305,-0.009014,0.007006,-0.009467,0.00633,-0.014308,0.0,-0.0,3e-06,-3e-06,-0.002096,1
261,-0.030219,FLAT,0.015008,-0.004483,0.005305,-0.009501,0.006463,-0.014451,0.002249,-6.8e-05,8e-06,-7.5e-05,-0.002171,0
262,-0.051463,SHORT,0.021244,-0.011206,0.006706,-0.009969,0.006527,-0.013772,-0.001538,7.9e-05,1.1e-05,6.9e-05,-0.002103,1
263,-0.038033,FLAT,0.013431,-0.008664,0.004961,-0.009867,0.006555,-0.013821,0.003074,-0.000117,7e-06,-0.000124,-0.002227,0
264,-0.045479,FLAT,0.007446,-0.005435,0.006497,-0.009672,0.006143,-0.013873,-0.000827,3.8e-05,4e-06,3.4e-05,-0.002193,1
265,-0.047126,FLAT,0.001648,-0.005919,0.006176,-0.009682,0.006143,-0.013873,0.000118,-6e-06,1e-06,-6e-06,-0.002199,0
266,-0.051348,SHORT,0.004221,-0.00349,0.007475,-0.01049,0.006534,-0.013783,0.002242,-0.000115,2e-06,-0.000117,-0.002316,0
267,-0.06278,SHORT,0.011432,-0.004741,0.006926,-0.010552,0.006534,-0.013783,0.000471,-3e-05,6e-06,-3.5e-05,-0.002352,0
268,-0.061282,SHORT,0.001498,-0.00719,0.00656,-0.010667,0.006519,-0.013783,-0.001533,9.4e-05,1e-06,9.3e-05,-0.002258,1
269,-0.036983,FLAT,0.024299,-0.010508,0.006148,-0.010674,0.006519,-0.013783,-0.005442,0.000201,1.2e-05,0.000189,-0.002069,1
270,-0.048738,FLAT,0.011755,0.012655,0.006383,-0.012847,0.006554,-0.013935,0.002015,-9.8e-05,6e-06,-0.000104,-0.002173,0
271,-0.080873,SHORT,0.032135,-0.000185,0.004134,-0.013258,0.006554,-0.013935,-0.002252,0.000182,1.6e-05,0.000166,-0.002007,1
272,-0.056887,SHORT,0.023986,-0.003117,0.005271,-0.013512,0.00678,-0.013935,0.000119,-7e-06,1.2e-05,-1.9e-05,-0.002026,0
273,-0.05535,SHORT,0.001537,-0.003363,0.004802,-0.0136,0.00678,-0.013935,0.000119,-7e-06,1e-06,-7e-06,-0.002033,0
274,-0.082414,SHORT,0.027064,-0.010501,0.006197,-0.009231,0.005553,-0.014151,0.000119,-1e-05,1.4e-05,-2.3e-05,-0.002057,0
275,-0.066596,SHORT,0.015818,-0.001397,0.005526,-0.009107,0.005792,-0.014151,-0.000831,5.5e-05,8e-06,4.7e-05,-0.002009,1
276,-0.066088,SHORT,0.000508,-0.008574,0.004672,-0.008921,0.006019,-0.014151,0.001423,-9.4e-05,0.0,-9.4e-05,-0.002104,0
277,-0.069881,SHORT,0.003793,-0.006799,0.006558,-0.00893,0.006115,-0.014151,0.001066,-7.5e-05,2e-06,-7.6e-05,-0.00218,0
278,-0.07815,SHORT,0.00827,-0.00941,0.006118,-0.013675,0.0063,-0.014363,-0.000355,2.8e-05,4e-06,2.4e-05,-0.002156,1
279,-0.060442,SHORT,0.017708,-0.013036,0.006528,-0.013479,0.006373,-0.014363,0.000829,-5e-05,9e-06,-5.9e-05,-0.002215,0
280,-0.026684,FLAT,0.033758,-0.017551,0.004684,-0.013389,0.006152,-0.014363,-0.000829,2.2e-05,1.7e-05,5e-06,-0.00221,1
281,-0.000704,FLAT,0.025981,-0.016176,0.005649,-0.013347,0.006152,-0.014363,0.003311,-2e-06,1.3e-05,-1.5e-05,-0.002225,0
282,-0.002209,FLAT,0.001506,-0.008367,0.006122,-0.012531,0.006205,-0.014552,-0.004852,1.1e-05,1e-06,1e-05,-0.002216,1
283,-0.032351,FLAT,0.030142,0.015273,0.006377,-0.013219,0.006205,-0.014552,-0.002495,8.1e-05,1.5e-05,6.6e-05,-0.00215,1
284,-0.041387,FLAT,0.009035,0.004499,0.00509,-0.013636,0.006253,-0.014552,0.0,-0.0,5e-06,-5e-06,-0.002154,1
285,-0.016853,FLAT,0.024534,-0.008792,0.005487,-0.013759,0.006253,-0.014552,-0.000714,1.2e-05,1.2e-05,-0.0,-0.002155,1
286,-0.057922,SHORT,0.041068,0.000184,0.003807,-0.014449,0.006115,-0.014712,0.001189,-6.9e-05,2.1e-05,-8.9e-05,-0.002244,0
287,-0.09079,SHORT,0.032868,-0.009354,0.007738,-0.014625,0.006115,-0.014712,0.000713,-6.5e-05,1.6e-05,-8.1e-05,-0.002325,0
288,-0.102779,SHORT,0.011989,5.4e-05,0.005398,-0.01446,0.006143,-0.014712,0.0,-0.0,6e-06,-6e-06,-0.002331,1
