step,position,action,market_return,gross_pnl,cost,net_pnl,cumul_net_pnl
318,-19.843128,SHORT,0.001789,-0.035502,4.9e-05,-0.035551,-0.919553
319,-19.85294,SHORT,0.001658,-0.032926,5e-06,-0.032931,-0.952484
320,-19.823641,SHORT,-0.000255,0.005054,1.5e-05,0.00504,-0.947444
321,-19.859184,SHORT,-0.002362,0.046899,1.8e-05,0.046881,-0.900563
322,-19.854757,SHORT,0.006433,-0.127733,2e-06,-0.127735,-1.028298
323,-19.87364,SHORT,-0.000953,0.018936,9e-06,0.018927,-1.009371
324,-19.865026,SHORT,-0.000254,0.005051,4e-06,0.005046,-1.004325
325,-19.795551,SHORT,0.000763,-0.015095,3.5e-05,-0.01513,-1.019454
326,-19.827951,SHORT,-0.000508,0.010078,1.6e-05,0.010062,-1.009392
327,-19.787296,SHORT,-0.001272,0.025167,2e-05,0.025146,-0.984246
328,-19.704527,SHORT,0.002415,-0.047589,4.1e-05,-0.047631,-1.031876
329,-19.863501,SHORT,-0.002606,0.051766,7.9e-05,0.051686,-0.98019
330,-19.868511,SHORT,0.001272,-0.025275,3e-06,-0.025277,-1.005468
331,-19.874187,SHORT,0.00349,-0.06936,3e-06,-0.069363,-1.074831
332,-19.873615,SHORT,-0.002156,0.042847,0.0,0.042847,-1.031983
333,16.721125,LONG,0.003675,0.061451,0.018297,0.043154,-0.988829
334,-2.507985,SHORT,-0.000127,0.000317,0.009615,-0.009297,-0.998127
335,-10.670132,SHORT,0.001264,-0.01349,0.004081,-0.017571,-1.015698
336,-19.094166,SHORT,-0.004876,0.09311,0.004212,0.088898,-0.9268
337,-19.383278,SHORT,0.001332,-0.025824,0.000145,-0.025968,-0.952768
338,-19.668982,SHORT,-0.004066,0.079971,0.000143,0.079828,-0.872941
339,18.387012,LONG,0.000827,0.01521,0.019028,-0.003818,-0.876759
340,18.220295,LONG,0.002858,0.052076,8.3e-05,0.051993,-0.824766
341,18.37326,LONG,-0.002922,-0.053682,7.6e-05,-0.053759,-0.878525
342,18.843391,LONG,-0.001209,-0.022787,0.000235,-0.023022,-0.901547
343,19.163822,LONG,0.001209,0.023175,0.00016,0.023015,-0.878532
344,19.022848,LONG,-0.002165,-0.041186,7e-05,-0.041256,-0.919788
345,10.979053,LONG,-0.001595,-0.017511,0.004022,-0.021533,-0.941321
346,17.812986,LONG,0.000255,0.004549,0.003417,0.001132,-0.940189
347,18.336239,LONG,0.000702,0.01287,0.000262,0.012609,-0.927581
348,9.140188,LONG,-0.024342,-0.222489,0.004598,-0.227087,-1.154668
349,19.105865,LONG,-0.000654,-0.012492,0.004983,-0.017474,-1.172142
350,18.966459,LONG,0.004828,0.091572,7e-05,0.091502,-1.08064
351,18.785969,LONG,-0.004959,-0.093158,9e-05,-0.093248,-1.173888
352,18.357777,LONG,-0.006694,-0.122892,0.000214,-0.123106,-1.296994
353,-19.929016,SHORT,-0.007867,0.156782,0.019143,0.137639,-1.159355
354,11.433959,LONG,-0.013968,-0.159715,0.015681,-0.175397,-1.334752
355,13.635949,LONG,0.012441,0.169642,0.001101,0.168541,-1.16621
356,-11.023661,SHORT,-0.003729,0.041111,0.01233,0.028781,-1.137429
357,19.531832,LONG,0.013585,0.265338,0.015278,0.250061,-0.887369
358,19.156506,LONG,-0.004883,-0.093533,0.000188,-0.093721,-0.981089
359,19.094007,LONG,-0.000728,-0.013897,3.1e-05,-0.013928,-0.995017
360,19.219711,LONG,0.003436,0.066038,6.3e-05,0.065976,-0.929042
361,16.318613,LONG,-0.000396,-0.00646,0.001451,-0.00791,-0.936952
362,14.741875,LONG,0.000726,0.010697,0.000788,0.009909,-0.927044
363,-1.126317,SHORT,-0.004494,0.005062,0.007934,-0.002872,-0.929916
364,13.899504,LONG,0.003702,0.051463,0.007513,0.04395,-0.885966
365,19.141901,LONG,0.010765,0.206059,0.002621,0.203437,-0.682529
366,17.270403,LONG,0.002348,0.040544,0.000936,0.039608,-0.642921
367,-9.127944,SHORT,-0.002935,0.026794,0.013199,0.013594,-0.629327
368,-19.406834,SHORT,0.000914,-0.01774,0.005139,-0.02288,-0.652207
369,-19.840031,SHORT,0.000522,-0.010356,0.000217,-0.010573,-0.66278
